system   D            wsystem.c:583  maybe_parent_dir                 [   0.00262] Also searching F:\Object Oriented C++ Programming\LUA Project\Y2_LUA_Attack\
display  D   display_settings.c:191  debug_display_settings           [   0.25007] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.25075] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.25128] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.25189] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.25252] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.25315] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.25392] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.25461] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.25523] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.25586] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.25651] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.25710] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.25779] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.25842] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.25907] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.25972] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.26040] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.26109] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.26168] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.26224] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.26301] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.26357] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.26415] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.26472] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.26526] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.26579] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.26642] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.26699] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.26758] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.26823] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.26899] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.26963] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.27019] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.27083] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.27153] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.27217] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.27279] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.27342] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.27403] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.27466] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.27535] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.27596] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.27657] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.27717] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.27785] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.27851] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.27916] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.27982] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.28032] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.28099] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.28156] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.28208] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.28269] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.28333] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.28396] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.28458] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.28513] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.28577] Score is : 769
