system   D            wsystem.c:583  maybe_parent_dir                 [   0.00266] Also searching F:\Object Oriented C++ Programming\LUA Project\Y2_LUA_Attack\
display  D   display_settings.c:506  _al_score_display_settings       [   0.19769] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.19830] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19900] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19969] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.20037] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.20105] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.20168] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.20228] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.20289] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.20349] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.20402] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.20462] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.20525] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.20594] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.20667] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.20731] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.20797] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.20869] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.20931] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.20995] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21056] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.21110] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21178] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21242] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21302] Score is : 769
